a	a:
arabísku	a: r a p i s k Y
arabískur	a: r a p i s k Y r
arafat	a: r a f a t
aragrúi	a: r a k r u I
arason	a: r a s O n
aratungu	a: r a t_h u N k Y
arcade	a r_0 c ei t
architects	a r_0 c I t_h E x t s
architecture	a r_0 c I t_h E x t j u r
are	a: r
area	E: r i a
areas	E: r i a s
arf	a r f
arfi	a r v I
arfleiddi	a r v l ei t I
arfleifð	a r v l ei v D
arftaka	a r_0 f t_h a k a
arftaki	a r_0 f t_h a c I
argentína	a r k E n t_h i n a
argentínska	a r k E n t_h i n s k a
argentínu	a r c E n t_h i n Y
argentínumaðurinn	a r c E n t_h i n Y m a D Y r I n
argentínumenn	a r c E n t_h i n Y m E n
ari	a: r I
arinbjarnarson	a: r I n p j a r t n a r_0 s O n
arion	a: r i O n
aristóteles	a: r I s t ou t_h E l E s
arkitekt	a r_0 c I t_h E x t
arkitekta	a r_0 c I t_h E x t a
arkitektar	a r_0 c I t_h E x t a r
arkitektarnir	a r_0 c I t_h E x t a r t n I r
arkitektasamkeppni	a r_0 c I t_h E x t a s a m c_h E h p n I
arkitektsins	a r_0 c I t_h E x t s I n s
arkitektúr	a r_0 c I t_h E x t u r
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armkútar	a r m k_h u t a r
armour	a r m u r
arms	a r m s
armstrong	a r m s t r O N
armt	a r m_0 t
armur	a r m Y r
army	a r m i
arna	a r t n a
arnalds	a r t n a l t s
arnaldur	a r t n a l t Y r
arnar	a r t n a r
arnardóttir	a r t n a r t ou h t I r
arnarholt	a r t n a r h O l_0 t
arnarholti	a r t n a r_0 h O l_0 t I
arnari	a r t n a r I
arnars	a r t n a r_0 s
arnarsdóttir	a r t n a r_0 s t ou h t I r
arnarson	a r t n a r_0 s O n
arnarsonar	a r t n a r_0 s O n a r
arnarsson	a r t n a r_0 s O n
arnarssonar	a r t n a r_0 s O n a r
arnartanga	a r t n a r_0 t_h au N k a
arnarvatnsheiðar	a r t n a r v a s h ei D a r
arnbjörg	a r t n_0 p j 9 r k
arnbjörnsson	a r t n_0 p j 9 r_0 s O n
arndal	a r n_0 t a l
arndís	a r n_0 t i s
arne	a r n E
arnfríður	a r t n_0 f r i D Y r
arngerður	a r t n_0 c E r D Y r
arngrímsson	a r t n_0 k r i m s O n
arngrímur	a r N k r i m Y r
arnheiður	a r t n_0 h ei D Y r
arnkelsson	a r n_0 c_h E l s O n
arnold	a r n ou l t
arnór	a r t n ou r
arnórs	a r t n ou r_0 s
arnórsson	a r t n ou r_0 s O n
arnþrúður	a r t n_0 T r u D Y r
arnþór	a r t n_0 T ou r
aron	a: r O n
aroni	a: r O n I
arons	a: r O n s
arsen	a r_0 s E n
arsenal	a r_0 s E n a l
arsene	a r_0 s E n
art	a r_0 t
artemisar	a r_0 t E m I s a r
arthur	a r_0 t u r
article	a r_0 t I k u l
articles	a r_0 t I k u l s
artist	a r_0 t I s t
artists	a r_0 t I s t s
arts	a r_0 t s
arð	a r D
arðgreiðslur	a r D k r ei D s t l Y r
arði	a r D I
arðræninginn	a r D r ai n i J c I n
arðs	a r D s
arðsemi	a r T s E m I
arður	a r D Y r
as	a: s
asa	a: s a
aserbaídsjan	a: s E r p a i t s j a n
ash	a s
ashley	a s t l ei
ashton	a s t O n
asia	ei: s j a
ask	a s k
aska	a s k a
asking	a s c i N
asnaeyrunum	a s t n a ei r O n Y m
asnaðist	a s t n a D I s t
asni	a s t n I
aspas	a s p a s
assad	a s a t
assange	a s a n s
asset	a s E t
assets	a s E t s
aston	a s t O n
así	a: E s i
asíu	a: s i j Y
at	a: t
ata	a: t a
atalanta	a h t a l a n_0 t a
atbeina	a: t p ei n a
atburð	a: t p Y r D
atburða	a: t p Y r D a
atburðanna	a: t p Y r D a n a
atburðarás	a t p Y r D a r au s
atburði	a: t p Y r D I
atburðinn	a: t p Y r D I n
atburðir	a t p Y r D I r
atburðum	a t p Y r D Y m
atburður	a: t p Y r D Y r
atburðurinn	a: t p Y r D Y r I n
atferli	a: t f E r t l I
atferlistruflaðir	a: t f E r t l I s t r Y p l a D I r
atgervi	a: t c E r v I
athafna	a: t a p n a
athafnamannsekja	a: t a p n a m a n s E c a
athafnir	a: t a p n I r
athuga	a: t Y G a
athuganir	a: t Y G a n I r
athugasemd	a: t Y G a s E m t
athugasemda	a: t Y G a s E m t a
athugasemdir	a: t Y G a s E m t I r
athugasemdum	a: t Y G a s E m t Y m
athugavert	a: t Y G a v E r_0 t
athugað	a: t_h Y G a D
athugið	a: t Yi j I D
athugult	a: t Y G Y l_0 t
athugun	a t_h Y G Y n
athugunar	a: t_h Y G Y n a r
athugunum	a: t h Y G Y n Y m
athuguðu	a: t_h Y G Y D Y
athvarf	a t k_h v a r f
athygli	a: t I k l I
athyglina	a t I k l I n a
athyglinni	a: t_h I k l I n I
athyglissýki	a: t I k l I s i c I
athyglisvert	a: t I k l I s v E r_0 t
athyglisverð	a: t I k l I s v E r D
athyglisverða	a: t I k l I s v E r D a
athyglisverðar	a: t I k l I s v E r D a r
athyglisverðri	a: t I k l I s v E r D r I
athyglisverðu	a: t I k l I s v E r D Y
athyglisverðum	a: t I k l I s v E r D Y m
athyglisverðustu	a: t I k l I s v E r D Y s t Y
athæfi	a: t ai v I
athöfn	a: t 9 p n_0
athöfnin	a t_h 9 p n I n
athöfnina	a: t 9 p n I n a
athöfninni	a: t 9 p n I n I
athöfnum	a: t 9 p n Y m
atkvæða	a: t k_h v ai D a
atkvæðagreiðsla	a: t k_h v ai D a k r ei D s t l a
atkvæðagreiðslan	a t k_h v ai D a k r ei D s t l a n
atkvæðagreiðslu	a t k_h v ai D a k r ei D s t l Y
atkvæðagreiðsluna	a t k_h v ai D a k r ei D s t l Y n a
atkvæðagreiðslunnar	a: t k_h v ai D a k r ei D s t l Y n a r
atkvæðagreiðslunni	a: t k_h v ai D a k r ei D s t l Y n I
atkvæðamestur	a t k_h v ai D a m E s t Y r
atkvæðamikill	a: t k_h v ai D a m I c I t l
atkvæðanna	a: t k_h v ai D a n a
atkvæði	a: t k_h v ai D I
atkvæðisrétt	a: t k_h v ai D I s r j E h t
atkvæðum	a: t k_h v ai D Y m
atla	a h t l a
atladóttir	a h t l a t ou h t I r
atlaga	a: t l a G a
atlanta	a h t l a n_0 t a
atlantis	a h t l a n_0 t I s
atlantshaf	a h t l a n_0 t s h a v
atlantshafi	a h t l a n_0 t s h a v I
atlantshafið	a h t l a n_0 t s h a v I D
atlantshafsbandalaginu	a h t l a n_0 t s h a f s p a n t a l ai j I n Y
atlantshafsbandalagið	a h t l a n t s h a f s p a n t a l ai j I D
atlantshafsbandalagsins	a h t l a n_0 t s h a f s p a n t a l a x s I n s
atlantshafsríkjanna	a h t l a n_0 t s h a f s r i c a n a
atlantshafsstofni	a h t l a n_0 t s h a f s t O p n I
atlantsskipa	a h t l a n_0 t s c I p a
atlas	a h t l a s
atlasfjalla	a h t l a s f j a t l a
atlason	a h t l a s O n
atlavík	a h t l a v i k
atlæti	a: t l ai t I
atlögu	a: t l 9 G Y
atmosphere	a h t m ou s f E r
atorku	a: t O r_0 k Y
atriða	a: t r I D a
atriði	a: t r I D I
atriðin	a: t r I D I n
atriðinu	a: t r I D I n Y
atriðið	a: t_h r I D I D
atriðum	a: t r I D Y m
attitude	a h t I t_h j u t
atvik	a: t v I k
atvika	a: t v I k a
atviki	a: t v I c I
atvikinu	a: t v I c I n Y
atviks	a: t v I k s
atviksorð	a: t v I k s O r D
atviksskráning	a: t v I k s k r au n i N k
atvikum	a: t v I k Y m
atvinna	a: t v I n a
atvinnu	a: t v I n Y
atvinnuflugmannsskírteinis	a: t v I n Y f l Y G m a n s c i r_0 t ei n I s
atvinnufrelsi	a: t v I n Y f r E l s I
atvinnugrein	a: t v I n Y k r ei n
atvinnugreina	a: t v I n Y k r ei n a
atvinnugreinar	a: t v I n Y k r ei n a r
atvinnugreinin	a: t v I n Y k r ei n I n
atvinnugreininni	a: t v I n Y k r ei n I n I
atvinnugreinum	a: t v I n Y k r ei n Y m
atvinnuhluti	a: t v I n Y l_0 Y t I
atvinnuhúsnæði	a: t v I n Y h u s t n ai D I
atvinnuhúsnæðis	a: t v I n Y h u s t n ai D I s
atvinnulaus	a: t v I n Y l 9i s
atvinnulausir	a: t v I n Y l 9i s I r
atvinnulausra	a: t v I n Y l 9i s r a
atvinnuleit	a: t v I n Y l ei t
atvinnuleitandi	a: t v I n Y l ei t a n t I
atvinnuleyfi	a: t v I n Y l ei v I
atvinnuleysi	a: t v I n Y l ei s I
atvinnuleysis	a: t v I n Y l ei s I s
atvinnuleysisbætur	a: t v I n Y l ei s I s p ai t Y r
atvinnuleysisbæturnar	a: t v I n Y l ei s I s p ai t Y r t n a r
atvinnuleysisbótum	a: t v I n Y l ei s I s p ou t Y m
atvinnuleysisskrá	a: t v I n Y l ei s I s k r au
atvinnuleysið	a: t v I n Y l ei s I D
atvinnulíf	a: t v I n Y l i f
atvinnulífi	a: t v I n Y l i v I
atvinnulífinu	a: t v I n Y l i v I n Y
atvinnulífið	a: t v I n Y l i v I D
atvinnulífs	a: t v I n Y l i f s
atvinnulífsins	a: t v I n Y l i f s I n s
atvinnumanna	a: t v I n Y m a n a
atvinnumaður	a: t v I n Y m a D Y r
atvinnumenn	a: t v I n Y m E n
atvinnumennsku	a: t v I n Y m E n s k Y
atvinnumál	a: t v I n Y m au l
atvinnumálaráð	a: t v I n Y m au l a r au D
atvinnumálaskrifstofu	a: t v I n Y m au l a s k r I f s t O v Y
atvinnumálum	a: t v I n Y m au l Y m
atvinnurekanda	a: t v I n Y r E k a n t a
atvinnurekandann	a: t v I n Y r E k a n t a n
atvinnurekandi	a: t v I n Y r E k a n t I
atvinnurekenda	a: t v I n Y r E k E n t a
atvinnurekendum	a: t v I n Y r E k E n t Y m
atvinnurekendur	a: t v I n Y r E k E n t Y r
atvinnurekstrar	a: t v I n Y r E k s t r a r
atvinnurekstri	a: t v I n Y r E k s t r I
atvinnurekstur	a: t v I n Y r E k s t Y r
atvinnuráðgjafi	a: t v I n Y r au D c a v I
atvinnuréttindi	a: t v I n Y r j E h t I n t I
atvinnuskráagerð	a: t v I n Y s k r au a c E r D
atvinnuskyni	a: t v I n Y s c I n I
atvinnustarfsemi	a: t v I n Y s t a r f s E m I
atvinnustefnu	a: t v I n Y s t E p n Y
atvinnustig	a: t v I n Y s t I G
atvinnusvæði	a: t v I n Y s v ai D I
atvinnutækifæri	a: t v I n Y t_h ai c I f ai r I
atvinnuuppbyggingu	a: t v I n Y h p I c i N k Y
atvinnuveganefnd	a: t v I n Y v E G a n E m t
atvinnuveganefndar	a: t v I n Y v E G a n E m t a r
atvinnuveganna	a: t v I n Y v E G a n a
atvinnuástand	a: t v I n Y au s t a n t
atvinnuþátttöku	a: t v I n Y T au h t_h 9 k Y
audi	au: t i
audience	O: t i E n s
auga	9i: G a
augabragði	9i: G a p r a G D I
augabrún	9i: G a p r u n
augabrýnnar	9i: G a p r i t n a r
augað	9i G a D
augljós	9i G l j ou s
augljósa	9i G l j ou s a
augljóslega	9i G l j ou s t l E G a
augljóst	9i G l j ou s t
auglýsa	9i G l i s a
auglýsing	9i G l i s i N k
auglýsinga	9i G l i s i N k a
auglýsingar	9i G l i s i N k a r
auglýsingaskilti	9i G l i s i N k a s c I l_0 t I
auglýsingastofa	9i G l i s i N k a s t O v a
auglýsingastofur	9i G l i s i N k a s t O v Y r
auglýsingin	9i: G l i s i J c I n
auglýsingu	9i G l i s i N k Y
auglýsingum	9i G l i s i N k Y m
auglýsingunni	9i G l i s i N k Y n I
auglýsir	9i G l i s I r
auglýst	9i G l i s t
auglýstar	9i G l i s t a r
auglýsti	9i G l i s t I
augnablik	9i k n a p l I k
augnabliki	9i k n a p l I c I
augnablikinu	9i k n a p l I c I n Y
augnakrókunum	9i k n a k_h r ou k O n Y m
augnatillit	9i k n a t_h I l I t
augnbotna	9i k n_0 p O h t n a
augndeild	9i k n_0 t ei l t
augnhár	9i k n h au r
augnkrem	9i k n_0 k_h r E m
augnkremið	9i k n_0 k_h r E m I D
augnlok	9i k n l O k
augnsambandi	9i k n_0 s a m p a n t I
augnskugga	9i k n_0 s k Y k a
augnskuggabox	9i k n_0 s k Y k a p O k s
augntóttunum	9i k n t ou h t O n Y m
augsburg	au k s p u r k
augu	9i: G Y
augum	9i: G Y m
augun	9i: G Y n
augunum	9i: G O n Y m
august	O: k 9 s t
auk	9i: k
auka	9i: k a
aukaatriði	9i: k a a t_h r I D I
aukahlutverk	9i: k a l_0 Y t v E r_0 k
aukahlutverki	9i: k a l_0 Y t v E r_0 c I
aukalega	9i: k a l E G a
aukana	9i: k a n a
aukasnertingu	9i: k a s t n E r_0 t i N k Y
aukaspyrnu	9i: k a s p I r t n Y
aukast	9i: k a s t
aukaverkanir	9i: k a v E r_0 k a n I r
aukaverkefna	9i: k a v E r_0 k E p n a
auki	9i: c I
aukin	9i: c I n
aukinheldur	9i: c I n h E l t Y r
aukinn	9i: c I n
aukinna	9i c I n a
aukinnar	9i: c I n a r
aukinni	9i: c I n I
aukins	9i: c I n s
aukist	9i: c I s t
aukið	9i: c I D
aukna	9i h k n a
auknar	9i h k n a r
aukning	9i h k n i N k
aukningar	9i h k n i N k a r
aukningin	9i h k n i J c I n
aukningu	9i h k n i N k Y
auknu	9i h k n Y
auknum	9i h k n Y m
auli	9i: l I
aumingi	9i: m i J c I
aumingja	9i: m i J c a
aumingjann	9i: m i J c a n
aumingjarnir	9i: m i J c a t n I r
aumingjaskap	9i: m i J c a s k a p
aumkunarvert	9i m_0 k Y n a r v E r_0 t
aumkunarverða	9i m_0 k Y n a r v E r D a
aumt	9i m_0 t
aur	9i: r
aura	9i: r a
aurum	9i: r u m
aus	au: s
ausa	9i: s a
austan	9i s t a n
austanlands	9i s t a n l a n t s
austantjaldslöndum	9i s t a n t_h j a l t s t l 9 n t Y m
austanvert	9i s t a n v E r_0 t
austanverðu	9i s t a n v E r D Y
austfirðinga	9i s t f I r D i N k a
austfirðingum	9i s t f I r D i N k Y m
austfjörðum	9i s t f j 9 r D Y m
austin	O s t I n
austri	9i s t r I
austria	O: s t r i a
austur	9i s t Y r
austuramti	9i s t Y r a m_0 t I
austurbæjarskóla	9i s t Y r_0 p ai j a r_0 s k ou l a
austurendann	9i s t Y r E n t a n
austurhluta	9i s t Y r l_0 Y t a
austurland	9i s t Y r l a n t
austurlanda	9i s t Y r l a n t a
austurlandi	9i s t Y r l a n t I
austurlands	9i s t Y r l a n t s
austurlenska	9i s t Y r l E n s k a
austurriðils	9i s t Y r I D I l s
austurríki	9i s t Y r i c I
austurríkis	9i s t Y r i c I s
austurríkismenn	9i s t Y r i c I s m E n
austurríska	9i s t Y r i s k a
austurríski	9i s t Y r i s c I
austurs	9i s t Y r_0 s
austurstræti	9i s t Y r_0 s t r ai t I
austurströnd	9i s t Y r_0 s t r 9 n t
austurvelli	9i s t Y r v E t l I
austurvöll	9i s t Y r v 9 t l_0
author	O: T O r
auto	O: t ou
automotive	O: t ou m ou t I v
autt	9i h t
autumn	O: t_h 9 m
aux	au k s
auð	9i: D
auðar	9i: D a r
auðblekkts	9i D p l E x t s
auðgert	9i D c E r_0 t
auðheyrilega	9i T h ei r I l E G a
auðheyrt	9i T h ei r_0 t
auði	9i: D I
auðir	9i: D I r
auðið	9i: D I D
auðkenni	9i D c_h E n I
auðlegð	9i D l E G D
auðlind	9i D l I n t
auðlinda	9i D l I n t a
auðlindagjalds	9i D l I n t a c a l t s
auðlindanefnd	9i D l I n t a n E m t
auðlindanefndar	9i D l I n t a n E m t a r
auðlindanýtingar	9i D l I n t a n i t i N k a r
auðlindarentu	9i D l I n t a r E n_0 t Y
auðlindaráðherra	9i D l I n t a r au T h E r a
auðlindinni	9i D l I n t I n I
auðlindir	9i D l I n t I r
auðlindum	9i D l I n t Y m
auðmýking	9i D m i c i N k
auðmýkingu	9i D m i c i N k Y
auðmýkja	9i D m i c a
auðmýkt	9i D m i x t
auðna	9i D n a
auðu	9i: D Y
auðugra	9i: D Y G r a
auðum	9i: D Y m
auðun	9i: D Y n
auðunn	9i: D Y n
auður	9i: D Y r
auðvaldsins	9i D v a l t s I n s
auðveld	9i D v E l t
auðvelda	9i D v E l t a
auðveldar	9i D v E l t a r
auðveldara	9i D v E l t a r a
auðveldari	9i D v E l t a r I
auðveldlega	9i D v E l t l E G a
auðveldur	9i D v E l t Y r
auðvelt	9i D v E l_0 t
auðvitað	9i D v I t a D
auðæfi	9i: D ai v I
average	a: v E r E t s j
aviv	a v i v
avocado	a: v O k_h a t ou
axarskaft	a k s a r_0 s k a f t
axarsköft	a k s a r_0 s k 9 f t
axel	a k s E l
axelsson	a k s E l s O n
axelssyni	a k s E l s I n I
axir	a k s I r
axla	a k s t l a
axlabönd	a k s t l a p 9 n t
axlarsprotar	a k s t l a r_0 s p r O t a r
axli	a k s t l I
axlirnar	a k s t l I r t n a r
aðal	a: D a l
aðalatriði	a: D a l a t r I D I
aðalatriðið	a: D a l a t r I D I D
aðalatriðum	a: D a l a t_h r I D Y m
aðalbjörg	a: D a l p j 9 r k
aðalbraut	a: D a l p r 9i t
aðalbyggingu	a: D a l p I c i N k Y
aðalbyggingunni	a: D a l p I c i N k Y n I
aðaldal	a: D a l t a l
aðaleigandi	a: D a l ei G a n t I
aðaleinkenni	a: D a l ei J c_h E n I
aðaleinkunn	a: D a l ei N_0 k Y n
aðalframkvæmdastjóri	a: D a l f r a m k_h v ai m t a s t j ou r I
aðalfréttirnar	a: D a l f r j E h t I r t n a r
aðalfulltrúar	a: D a l f Y t l_0 t_h r u a r
aðalfund	a: D a l f Y n t
aðalfundardegi	a: D a l f Y n t a r t ei j I
aðalfundarstörf	a: D a l f Y n t a r_0 s t 9 r f
aðalfundarstörfum	a: D a l f Y n t a r_0 s t 9 r v Y m
aðalfundi	a: D a l f Y n t I
aðalfundur	a: D a l f Y n t Y r
aðalheiður	a: D a l h ei D Y r
aðalhlutverk	a: D a l_0 Y t v E r_0 k
aðalhlutverki	a: D a l_0 Y t v E r_0 c I
aðalhlutverkin	a: D a l_0 Y t v E r_0 c I n
aðalhlutverkinu	a: D a l_0 Y t v E r_0 c I n Y
aðalhlutverkið	a: D a l_0 Y t v E r_0 c I D
aðalhlutverkum	a: D a l_0 Y t v E r_0 k Y m
aðalkostur	a: D a l k_h O s t Y r
aðalkrafa	a: D a l k_h r a v a
aðalkröfu	a: D a l k_h r 9 v Y
aðalkvöldfréttatími	a: D a l k_h v 9 l t f r j E h t a t_h i m I
aðallandstjórans	a: D a l a n t s t j ou r a n s
aðallega	a: D a l E G a
aðalleit	a: D a l ei t
aðalleiðbeinandi	a: D a l ei D p ei n a n t I
aðalmeðferð	a: D a l m E D f E r D
aðalmálið	a: D a l m au l I D
aðalnámskrá	a: D a l n au m s k r au
aðalnámskránni	a: D a l n au m s k r au n I
aðalpersóna	a: D a l p_h E r_0 s ou n a
aðalpersónan	a: D a l p_h E r_0 s ou n a n
aðalpersónu	a: D a l p_h E r_0 s ou n Y
aðalpósthúsinu	a: D a l p_h ou s t_h u s I n Y
aðalsafnaðarfundur	a: D a l s a p n a D a r_0 f Y n t Y r
aðalsafninu	a: D a l s a p n I n Y
aðalsafnsins	a: D a l s a p n_0 s I n s
aðalskipulag	a: D a l s c I p Y l a G
aðalskipulagi	a: D a l s c I p u l ai j I
aðalskipulaginu	a: D a l s c I p Y l ai j I n Y
aðalskipulags	a: D a l s c I p Y l a x s
aðalskrifstofa	a: D a l s k r I f s t O v a
aðalsmerki	a: D a l s m E r_0 c I
aðalstefnanda	a: D a l s t E p n a n t a
aðalstefnandi	a: D a l s t E p n a n t I
aðalstefnda	a: D a l s t E m t a
aðalstefndi	a: D a l s t E m t I
aðalsteinn	a: D a l s t ei t n_0
aðalsteinsdóttir	a: D a l s t ei n s t ou h t I r
aðalsteinsson	a: D a l s t ei n s O n
aðalstræti	a: D a l s t r ai t I
aðalsök	a: D a l s 9 k
aðaltekjulindir	a: D a l t_h E c Y l I n t I r
aðalvandinn	a: D a l v a n t I n
aðalverki	a: D a l v E r_0 c I
aðalverktaka	a: D a l v E r_0 t_h a k a
aðalverktakar	a: D a l v E r_0 t_h a k a r
aðalverktökum	a: D a l v E r_0 t_h 9 k Y m
aðaláfrýjanda	a: D a l au f r i j a n t a
aðaláfrýjandi	a: D a l au f r i j a n t I
aðaláhugamál	a: D a l au h Y G a m au l
aðbúnað	a D p u n a D
aðbúnaði	a D p u n a D I
aðbúnaður	a D p u n a D Y r
aðdraganda	a D t r a G a n t a
aðdragandi	a D t r a G a n t I
aðdráttarafl	a D t r au h t a r a p l
aðdráttarlinsuna	a D t r au h t a r l I n s Y n a
aðdróttun	a D t r ou h t Y n
aðdáandi	a D t au a n t I
aðdáenda	a D t au E n t a
aðdáendaklúbbs	a D t au E n t a k_h l u p s
aðdáendum	a D t au E n t Y m
aðdáendur	a D t au E n t Y r
aðdáun	a D t au Y n
aðdáunarvert	a D t au Y n a r v E r_0 t
aðeins	a: D ei n s
aðfangadag	a D f au N k a t a G
aðfangadagskvöld	a D f au N k a t a x s k_h v 9 l t
aðfangadagur	a D f au N k a t a G Y r
aðfaranótt	a D f a r a n ou h t
aðfararnótt	a D f a r a r n ou h t
aðferð	a D f E r D
aðferðafræði	a D f E r D a f r ai D I
aðferðin	a D f E r D I n
aðferðir	a D f E r D I r
aðferðum	a D f E r D Y m
aðflugshallasendum	a D f l Y x s h a t l a s E n t Y m
aðframkomnir	a D f r a m k_h O m n I r
aðför	a D f 9 r
aðgang	a D k au N k
aðgangi	a D k au J c I
aðgangs	a D k au N s
aðgangsbox	a D k au N s p O k s
aðgangseyri	a D k au N s ei r I
aðgangseyrir	a D k au N s ei r I r
aðgangsharðir	a D k au N s h a r D I r
aðgangsorð	a D k au N s O r D
aðgangur	a D k au N k Y r
aðgengi	a D c ei J c I
aðgengileg	a D c ei J c I l E G
aðgengilega	a D c ei J c I l E G a
aðgengilegan	a D c ei J c I l E G a n
aðgengilegar	a D c ei J c I l E G a r
aðgengilegasta	a D c ei J c I l E G a s t a
aðgengilegir	a D c ei J c I l ei j I r
aðgengilegri	a D c ei J c I l E G r I
aðgengilegt	a D c ei J c I l E x t
aðgengilegum	a D c ei J c I l E G Y m
aðgerð	a D c E r D
aðgerða	a D c E r D a
aðgerðaleysi	a D c E r D a l ei s I
aðgerðaáætlun	a D c E r D a au ai h t l Y n
aðgerðin	a D c E r D I n
aðgerðina	a D c E r D I n a
aðgerðinni	a D c E r D I n I
aðgerðir	a D c E r D I r
aðgerðirnar	a D c E r D I r t n a r
aðgerðum	a D c E r D Y m
aðgerðunum	a D c E r D O n Y m
aðgát	a D k au t
aðgætni	a D c ai h t n I
aðgöngumiða	a D k 9i N k Y m I D a
aðhafast	a T h a v a s t
aðhafst	a D h a f s t
aðhald	a: T h a l t
aðhaldi	a: T h a l t I
aðhalds	a D h a l t s
aðhaldssamur	a D h a l t s a m Y r
aðhlynningar	a D l_0 I n i N k a r
aðhlynningu	a: D l_0 I n i N k Y
aðhyllast	a: T h I t l a s t
aðhylltist	a: D h I l_0 t I s t
aðila	a: D I l a
aðilanna	a: D I l a n a
aðilar	a: D I l a r
aðilarnir	a: D I l a r t n I r
aðild	a: D I l t
aðildar	a: D I l t a r
aðildarfyrirtækja	a: D I l t a r_0 f I r I r_0 t_h ai c a
aðildarfélaga	a: D I l t a r_0 f j E l a G a
aðildarlanda	a: D I l t a r l a n t a
aðildarríki	a: D I l t a r i c I
aðildarríkin	a: D I l t a r i c I n
aðildarríkja	a: D I l t a r i c a
aðildarríkjanna	a: D I l t a r i c a n a
aðildarríkjum	a: D I l t a r i c Y m
aðildarríkjunum	a: D I l t a r i c O n Y m
aðildarumsókn	a: D I l t a r Y m s ou h k n
aðildarviðræðum	a: D I l t a r v I D r ai D Y m
aðildarviðræður	a: D I l t a r v I D r ai D Y r
aðili	a: D I l I
aðilinn	a: D I l I n
aðilum	a: D I l Y m
aðkallandi	a D k_h a t l a n t I
aðkasti	a D k_h a s t I
aðkoma	a D k_h O m a
aðkoman	a D k_h O m a n
aðkomu	a D k_h O m Y
aðkomumanna	a D k_h O m Y m a n a
aðkomumaður	a: D k_h O m Y m a D Y r
aðkomumenn	a D k_h O m Y m E n
aðkomunni	a D k_h O m Y n I
aðlaga	a D l a G a
aðlagast	a D l a G a s t
aðlaðandi	a D l a D a n t I
aðliggjandi	a D l I c a n t I
aðlögun	a D l 9 G Y n
aðnjótandi	a D n j ou t a n t I
aðra	a D r a
aðrar	a D r a r
aðrennslisgöng	a D r E n s t l I s k 9i N k
aðrir	a D r I r
aðsetur	a D s E t Y r
aðskilin	a D s c I l I n
aðskilja	a D s c I l j a
aðskilnað	a D s c I l n a D
aðskilnaður	a D s c I l n a D Y r
aðspurt	a D s p Y r_0 t
aðspurð	a D s p Y r D
aðspurðra	a D s p Y r D r a
aðspurður	a D s p Y r D Y r
aðstandenda	a D s t a n t E n t a
aðstandendum	a D s t a n t E n t Y m
aðstandendur	a D s t a n t E n t Y r
aðstaða	a D s t a D a
aðstaðan	a D s t a D a n
aðstoð	a D s t O D
aðstoða	a D s t O D a
aðstoðar	a D s t O D a r
aðstoðarforingja	a D s t O D a r_0 f O r i J c a
aðstoðarforstjóri	a D s t O D a r_0 f O r_0 s t j ou r I
aðstoðarforsætisráðherra	a D s t O D a r_0 f O r_0 s ai t I s r au T h E r a
aðstoðarframkvæmdastjóri	a D s t O D a r_0 f r a m k_h v ai m t a s t j ou r I
aðstoðarmann	a D s t O D a r m a n
aðstoðarmanns	a D s t O D a r m a n s
aðstoðarmaður	a D s t O D a r m a D Y r
aðstoðarmaðurinn	a D s t O D a r m a D Y r I n
