a	aː
almarr	a l m a r
almenn	a l m ɛ n
almenna	a l m ɛ n a
almennan	a l m ɛ n a n
almennar	a l m ɛ n a r
almenni	a l m ɛ n ɪ
almennileg	a l m ɛ n ɪ l ɛ ɣ
almennilega	a l m ɛ n ɪ l ɛ ɣ a
almennilegt	a l m ɛ n ɪ l ɛ x t
almennilegur	a l m ɛ n ɪ l ɛ ɣ ʏ r
almenning	a l m ɛ n i ŋ k
almenningi	a l m ɛ n i ɲ c ɪ
almenninginn	a l m ɛ n i ɲ c ɪ n
almenningnum	a l m ɛ n i ŋ n ʏ m
almennings	a l m ɛ n i ŋ s
almenningsbókasöfn	a l m ɛ n i ŋ s p ou k a s œ p n̥
almenningshlaupa	a l m ɛ n i ŋ s l̥ œy p a
almenningssamgangna	a l m ɛ n i ŋ s a m k au ŋ n a
almenningssamgöngum	a l m ɛ n i ŋ s a m k œy ŋ k ʏ m
almenningssamgöngur	a l m ɛ n i ŋ s a m k œy ŋ k ʏ r
almenningstindur	a l m ɛ n i ŋ s tʰ ɪ n t ʏ r
almenningsálitið	a l m ɛ n i ŋ s au l ɪ t ɪ ð
almenningur	a l m ɛ n i ŋ k ʏ r
almennir	a l m ɛ n ɪ r
almennra	a l m ɛ n r a
almennrar	a l m ɛ n r a r
almennri	a l m ɛ n r ɪ
almenns	a l m ɛ n s
almennt	a l m ɛ n̥ t
almennu	a l m ɛ n ʏ
almennum	a l m ɛ n ʏ m
almennur	a l m ɛ n ʏ r
almost	ɔ l m ou s t
almáttugan	a l m au h t ʏ ɣ a n
alnæmi	a l n ai m ɪ
alonso	a l ɔ n s ɔ
alpagreinar	a l̥ p a k r ei n a r
alpaka	a l pʰ a k a
alpaklúbburinn	a l̥ p a kʰ l u p ʏ r ɪ n
alrangt	a l r au ŋ̊ t
alríkislögreglan	a l r i c ɪ s t l œ ɣ r ɛ k l a n
alríkislögreglunnar	a l r i c ɪ s t l œ ɣ r ɛ k l ʏ n a r
als	a l s
alsett	a l s ɛ h t
also	ɔ l s ou
alsoddi	a l s ɔ t ɪ
alsír	a l s i r
alt	a l̥ t
altari	a l̥ t a r ɪ
altarisganga	a l̥ t a r ɪ s k au ŋ k a
altarisgöngu	a l̥ t a r ɪ s k œy ŋ k ʏ
altarissakramentinu	a l̥ t a r ɪ s a k r a m ɛ n̥ t ɪ n ʏ
altarissakramentið	a l̥ t a r ɪ s a k r a m ɛ n̥ t ɪ ð
altarissveinn	a l̥ t a r ɪ s v ei t n̥
altaristöfluna	a l̥ t a r ɪ s tʰ œ p l ʏ n a
altekinn	a l tʰ ɛ c ɪ n
altsvo	a l̥ t s v ɔ
alusuisse	aː l u s v ɪ s
alvara	a l v a r a
alvarleg	a l v a r l ɛ ɣ
alvarlega	a l v a r l ɛ ɣ a
alvarlegan	a l v a r l ɛ ɣ a n
alvarlegar	a l v a r l ɛ ɣ a r
alvarlegasta	a l v a r l ɛ ɣ a s t a
alvarlegir	a l v a r l ei j ɪ r
alvarlegra	a l v a r l ɛ ɣ r a
alvarlegrar	a l v a r l ɛ ɣ r a r
alvarlegri	a l v a r l ɛ ɣ r ɪ
alvarlegs	a l v a r l ɛ x s
alvarlegt	a l v a r l ɛ x t
alvarlegu	a l v a r l ɛ ɣ ʏ
alvarlegum	a l v a r l ɛ ɣ ʏ m
alvarlegur	a l v a r l ɛ ɣ ʏ r
alvarlegustu	a l v a r l ɛ ɣ ʏ s t ʏ
alvarleika	a l v a r l ei k a
alvaro	a l v a r ou
alveg	a l v ɛ ɣ
alversta	a l v ɛ r̥ s t a
alves	a l v ɛ s
alvitur	a l v ɪ t ʏ r
alvogen	a l v ɔ k ɛ n
alvöru	a l v œ r ʏ
alvörugefni	a l v œ r ʏ c ɛ p n ɪ
alvörunni	a l v œ r ʏ n ɪ
alvörupabba	a l v œ r ʏ pʰ a p a
alvörusvip	a l v œ r ʏ s v ɪ p
always	ɔ l v ei s
alzheimer	a l s h ai m ɛ r
alúð	aː l u ð
alúðlega	aː l u ð l ɛ ɣ a
alþekkt	a l θ ɛ x t
alþingi	a l θ i ɲ c ɪ
alþingis	a l θ i ɲ c ɪ s
alþingishúsinu	a l θ i ɲ c ɪ s h u s ɪ n ʏ
alþingishúsið	a l θ i ɲ c ɪ s h u s ɪ ð
alþingiskosninga	a l θ i ɲ c ɪ s kʰ ɔ s t n i ŋ k a
alþingiskosningar	a l θ i ɲ c ɪ s kʰ ɔ s t n i ŋ k a r
alþingiskosningarnar	a l θ i ɲ c ɪ s kʰ ɔ s t n i ŋ k a r t n a r
alþingiskosningum	a l θ i ɲ c ɪ s kʰ ɔ s t n i ŋ k ʏ m
alþingiskosningunum	a l θ i ɲ c ɪ s kʰ ɔ s t n i ŋ k ɔ n ʏ m
alþingismanna	a l θ i ɲ c ɪ s m a n a
alþingismanns	a l θ i ɲ c ɪ s m a n s
alþingismaður	a l θ i ɲ c ɪ s m a ð ʏ r
alþingismenn	a l θ i ɲ c ɪ s m ɛ n
alþingismönnum	a l θ i ɲ c ɪ s m œ n ʏ m
alþjóð	a l θ j ou ð
alþjóða	a l θ j ou ð a
alþjóðabankans	a l θ j ou ð a p au ŋ̊ k a n s
alþjóðabankinn	a l θ j ou ð a p au ɲ̊ c ɪ n
alþjóðagjaldeyrissjóðinn	a l θ j ou ð a c a l t ei r ɪ s j ou ð ɪ n
alþjóðagjaldeyrissjóðnum	a l θ j ou ð a c a l t ei r ɪ s j ou ð n ʏ m
alþjóðagjaldeyrissjóðsins	a l θ j ou ð a c a l t ei r ɪ s j ou ð s ɪ n s
alþjóðagjaldeyrissjóðurinn	a l θ j ou ð a c a l t ei r ɪ s j ou ð ʏ r ɪ n
alþjóðalög	a l θ j ou ð a l œ ɣ
alþjóðalögum	a l θ j ou ð a l œ ɣ ʏ m
alþjóðamarkaði	a l θ j ou ð a m a r̥ k a ð ɪ
alþjóðamálum	a l θ j ou ð a m au l ʏ m
alþjóðasamfélaginu	a l θ j ou ð a s a m f j ɛ l ai j ɪ n ʏ
alþjóðasamfélagið	a l θ j ou ð a s a m f j ɛ l ai j ɪ ð
alþjóðasamfélagsins	a l θ j ou ð a s a m f j ɛ l a x s ɪ n s
alþjóðasamninga	a l θ j ou ð a s a m n i ŋ k a
alþjóðastofnana	a l θ j ou ð a s t ɔ p n a n a
alþjóðasveitanna	a l θ j ou ð a s v ei t a n a
alþjóðasveitirnar	a l θ j ou ð a s v ei t ɪ r t n a r
alþjóðasveitunum	a l θ j ou ð a s v ei t ɔ n ʏ m
alþjóðavettvangi	a l θ j ou ð a v ɛ h t v au ɲ c ɪ
alþjóðaviðskiptum	a l θ j ou ð a v ɪ ð s c ɪ f t ʏ m
alþjóðavæðingar	a l θ j ou ð a v ai ð i ŋ k a r
alþjóðavísu	a l θ j ou ð a v i s ʏ
alþjóðleg	a l θ j ou ð l ɛ ɣ
alþjóðlega	a l θ j ou ð l ɛ ɣ a
alþjóðlegan	a l θ j ou ð l ɛ ɣ a n
alþjóðlegar	a l θ j ou ð l ɛ ɣ a r
alþjóðlegi	a l θ j ou ð l ei j ɪ
alþjóðlegir	a l θ j ou ð l ei j ɪ r
alþjóðlegra	a l θ j ou ð l ɛ ɣ r a
alþjóðlegrar	a l θ j ou ð l ɛ ɣ r a r
alþjóðlegri	a l θ j ou ð l ɛ ɣ r ɪ
alþjóðlegs	a l θ j ou ð l ɛ x s
alþjóðlegt	a l θ j ou ð l ɛ x t
alþjóðlegu	a l θ j ou ð l ɛ ɣ ʏ
alþjóðlegum	a l θ j ou ð l ɛ ɣ ʏ m
alþjóðlegur	a l θ j ou ð l ɛ ɣ ʏ r
alþýða	a l θ i ð a
alþýðu	a l θ i ð ʏ
alþýðubandalaginu	a l θ i ð ʏ p a n t a l ai j ɪ n ʏ
alþýðubandalagið	a l θ i ð ʏ p a n t a l ai j ɪ ð
alþýðubandalagsins	a l θ i ð ʏ p a n t a l a x s ɪ n s
alþýðuflokksins	a l θ i ð ʏ f l ɔ h k s ɪ n s
alþýðuflokkurinn	a l θ i ð ʏ f l ɔ h k ʏ r ɪ n
alþýðufylkingarinnar	a l θ i ð ʏ f ɪ l̥ c i ŋ k a r ɪ n a r
alþýðunnar	a l θ i ð ʏ n a r
alþýðusamband	a l θ i ð ʏ s a m p a n t
alþýðusambandi	a l θ i ð ʏ s a m p a n t ɪ
alþýðusambandið	a l θ i ð ʏ s a m p a n t ɪ ð
alþýðusambands	a l θ i ð ʏ s a m p a n t s
alþýðusambandsins	a l θ i ð ʏ s a m p a n t s ɪ n s
am	aː m
ama	aː m a
amanda	aː m a n t a
amast	aː m a s t
amazon	aː m a s ɔ n
ambient	a m p i ɛ n̥ t
ameríkaninn	aː m ɛ r i kʰ a n ɪ n
ameríku	aː m ɛ r i k ʏ
ameríska	aː m ɛ r i s k a
amerísku	aː m ɛ r i s k ʏ
amerískum	aː m ɛ r i s k ʏ m
amerískur	aː m ɛ r i s k ʏ r
amfetamín	a m f ɛ t a m i n
amfetamíni	a m f ɛ t a m i n ɪ
amfetamínneytendur	a m f ɛ t a m i n ei t ɛ n t ʏ r
amfetamíns	a m f ɛ t a m i n s
amma	a m a
amman	a m a n
amnesty	a m n ɛ s t i
amper	a m̥ p ɛ r
amsterdam	a m s t ɛ r t a m
amstri	a m s t r ɪ
amtbókasafninu	a m̥ t p ou k a s a p n ɪ n ʏ
amtmanni	a m̥ t m a n ɪ
amtmaður	a m̥ t m a ð ʏ r
amtsbókasafnið	a m̥ t s p ou k a s a p n ɪ ð
amy	eiː m i
ana	aː n a
ananas	aː n a n a s
anand	aː n a n t
and	a n t
anda	a n t a
andagift	a n t a c ɪ f t
andakt	a n t a x t
andaktugur	a n t a x t ʏ ɣ ʏ r
andann	a n t a n
andans	a n t a n s
andanum	a n t a n ʏ m
andapollinn	a n t a pʰ ɔ t l ɪ n
andar	a n t a r
andarslitrunum	a n t a r̥ s t l ɪ t r ɔ n ʏ m
andartak	a n t a r̥ tʰ a k
andartaki	a n t a r̥ tʰ a c ɪ
andartakið	a n t a r̥ tʰ a c ɪ ð
andartaksins	a n t a r̥ tʰ a k s ɪ n s
andartaksstund	a n t a r̥ tʰ a k s t ʏ n t
andartökum	a n t a r̥ tʰ œ k ʏ m
andarunga	a n t a r u ŋ k a
andarungi	a n t a r u ɲ c ɪ
andavatn	a n t a v a h t n̥
andað	a n t a ð
andaðist	a n t a ð ɪ s t
anddyri	a n t ɪ r ɪ
anders	a n t ɛ r̥ s
andersen	a n t ɛ r̥ s ɛ n
anderson	a n t ɛ r̥ s ɔ n
andersson	a n t ɛ r̥ s ɔ n
andesfjöllin	a n t ɛ s f j œ t l ɪ n
andfélagslega	a n t f j ɛ l a x s t l ɛ ɣ a
andi	a n t ɪ
andinn	a n t ɪ n
andleg	a n t l ɛ ɣ
andlega	a n t l ɛ ɣ a
andlegan	a n t l ɛ ɣ a n
andlegra	a n t l ɛ ɣ r a
andlegri	a n t l ɛ ɣ r ɪ
andlegt	a n t l ɛ x t
andlegu	a n t l ɛ ɣ ʏ
andlegum	a n t l ɛ ɣ ʏ m
andlegur	a n t l ɛ ɣ ʏ r
andlit	a n t l ɪ t
andliti	a n t l ɪ t ɪ
andlitinu	a n t l ɪ t ɪ n ʏ
andlitið	a n t l ɪ t ɪ ð
andlitslyftingu	a n t l ɪ t s t l ɪ f t i ŋ k ʏ
andlitslyftur	a n t l ɪ t s t l ɪ f t ʏ r
andlitssnyrtingu	a n t l ɪ t s t n ɪ r̥ t i ŋ k ʏ
andlitssvip	a n t l ɪ t s v ɪ p
andlát	a n t l au t
andláti	a n t l au t ɪ
andlátið	a n t l au t ɪ ð
andláts	a n t l au t s
andmæla	a n t m ai l a
andmæli	a n t m ai l ɪ
andmælt	a n t m ai l̥ t
andmælum	a n t m ai l ʏ m
andorra	a n t ɔ r a
andra	a n t r a
andre	a n t r ɛ
andrea	a n t r ɛ a
andreas	a n t r ɛ a s
andrei	a n t r ei
andres	a n t r ɛ s
andreu	a n t r ɛ ʏ
andrew	a n t r u
andrews	a n t r j u s
andri	a n t r ɪ
andriy	a n t r i
android	a n t r ɔi t
andrá	a n t r au
andré	a n t r ei
andrés	a n t r j ɛ s
andrésar	a n t r j ɛ s a r
andrésdóttir	a n t r j ɛ s t ou h t ɪ r
andrési	a n t r j ɛ s ɪ
andrésson	a n t r j ɛ s ɔ n
andrógen	a n t r ou c ɛ n
andrúmsloft	a n t r u m s t l ɔ f t
andrúmslofti	a n t r u m s t l ɔ f t ɪ
andrúmsloftinu	a n t r u m s t l ɔ f t ɪ n ʏ
andrúmsloftið	a n t r u m s t l ɔ f t ɪ ð
andskota	a n t s k ɔ t a
andskotann	a n t s k ɔ t a n
andskoti	a n t s k ɔ t ɪ
andskotinn	a n t s k ɔ t ɪ n
andskáldsöguna	a n t s k au l t s œ ɣ ʏ n a
andsnúinn	a n t s t n u ɪ n
andsnúnir	a n t s t n u n ɪ r
andspænis	a n t s p ai n ɪ s
andstaða	a n t s t a ð a
andstaðan	a n t s t a ð a n
andstreymi	a n t s t r ei m ɪ
andstyggilega	a n t s t ɪ c ɪ l ɛ ɣ a
andstyggilegt	a n t s t ɪ c ɪ l ɛ x t
andstyggilegur	a n t s t ɪ c ɪ l ɛ ɣ ʏ r
andstyggð	a n t s t ɪ ɣ ð
andstyggðar	a n t s t ɪ ɣ ð a r
andstætt	a n t s t ai h t
andstæð	a n t s t ai ð
andstæða	a n t s t ai ð a
andstæðing	a n t s t ai ð i ŋ k
andstæðinga	a n t s t ai ð i ŋ k a
andstæðinganna	a n t s t ai ð i ŋ k a n a
andstæðingar	a n t s t ai ð i ŋ k a r
andstæðingarnir	a n t s t ai ð i ŋ k a r t n ɪ r
andstæðingi	a n t s t ai ð i ɲ c ɪ
andstæðinginn	a n t s t ai ð i ɲ c ɪ n
andstæðingum	a n t s t ai ð i ŋ k ʏ m
andstæðingur	a n t s t ai ð i ŋ k ʏ r
andstæðingurinn	a n t s t ai ð i ŋ k ʏ r ɪ n
andstæðir	a n t s t ai ð ɪ r
andstæðu	a n t s t ai ð ʏ
andstæður	a n t s t ai ð ʏ r
andstöðu	a n t s t œ ð ʏ
andstöðuflokkur	a n t s t œ ð ʏ f l ɔ h k ʏ r
andsvar	a n t s v a r
andsvara	a n t s v a r a
andsvari	a n t s v a r ɪ
andsvarið	a n t s v a r ɪ ð
andsvör	a n t s v œ r
andsvörum	a n t s v œ r ʏ m
andvaka	a n t v a k a
andvana	a n t v a n a
andvari	a n t v a r ɪ
andvarp	a n t v a r̥ p
andvarpandi	a n t v a r̥ p a n t ɪ
andvarpaði	a n t v a r̥ p a ð ɪ
andvarpi	a n t v a r̥ p ɪ
andvirði	a n t v ɪ r ð ɪ
andvíg	a n t v i ɣ
andvígir	a n t v i j ɪ r
andvígur	a n t v i ɣ ʏ r
andvörpum	a n t v œ r̥ p ʏ m
andy	a n t i
andúð	a n t u ð
anelka	a n ɛ l̥ k a
anfield	a n f i l t
ang	au ŋ k
anga	au ŋ k a
angan	au ŋ k a n
angandi	au ŋ k a n t ɪ
angar	au ŋ k a r
angel	ei ɲ c ɛ l
angela	a ɲ c ɛ l a
angeles	a n t j ɛ l ɛ s
angels	ei n t j ɛ l s
angelu	a ɲ c ɛ l ʏ
angi	au ɲ c ɪ
anginn	au ɲ c ɪ n
angistarfull	au ɲ c ɪ s t a r̥ f ʏ t l̥
angra	au ŋ k r a
angrandi	au ŋ k r a n t ɪ
angrar	au ŋ k r a r
angrað	au ŋ k r a ð
angraði	au ŋ k r a ð ɪ
angraðir	au ŋ k r a ð ɪ r
angri	au ŋ k r ɪ
angrið	au ŋ k r ɪ ð
angur	au ŋ k ʏ r
angurfull	au ŋ k ʏ r̥ f ʏ t l̥
angurvært	au ŋ k ʏ r v ai r̥ t
angóla	a ŋ k ou l a
angólsk	a ŋ k ou l s k
angólskir	a ŋ k ou l s c ɪ r
angólskt	a ŋ k ou l s t
angólsku	a ŋ k ou l s k ʏ
angóraull	a ŋ k ou r a ʏ t l̥
angóraullar	a ŋ k ou r a ʏ t l a r
angóraullarinnar	a ŋ k ou r a ʏ t l a r ɪ n a r
angóraullin	a ŋ k ou r a ʏ t l ɪ n
angóraullina	a ŋ k ou r a ʏ t l ɪ n a
angóraullinni	a ŋ k ou r a ʏ t l ɪ n ɪ
angóruull	a ŋ k ou r ʏ ʏ t l
anhydrít	a n h i t r i t
anhýdríti	a n h i t r i t ɪ
anhýdríð	a n h i t r i ð
anhýdríðum	a n h i t r i ð ʏ m
animal	aː n ɪ m a l
animals	aː n ɪ m a l s
aniston	aː n ɪ s t ɔ n
anita	aː n i t a
ankara	a ŋ̊ k a r a
ann	a n
anna	a n a
annan	a n a n
annar	a n a r
annara	a n a r a
annari	a n a r ɪ
annarlega	a n a r l ɛ ɣ a
annarlegri	a n a r l ɛ ɣ r ɪ
annarlegu	a n a r l ɛ ɣ ʏ
annarra	a n a r a
annarrar	a n a r a r
annarri	a n a r ɪ
annars	a n a r̥ s
annarskonar	a n a r̥ s k ɔ n a r
annarsstaðar	a n a r̥ s t a ð a r
annarstaðar	a n a r̥ s t a ð a r
annarsvegar	a n a r̥ s v ɛ ɣ a r
annast	a n a s t
annað	a n a ð
annaðhvort	a n a ð kʰ v ɔ r̥ t
annaðist	a n a ð ɪ s t
anne	a n
annie	a n i
annika	a n ɪ k a
annir	a n ɪ r
annist	a n ɪ s t
annmarka	a n m a r̥ k a
annmarkar	a n m a r̥ k a r
annmörkum	a n m œ r̥ k ʏ m
annríki	a n r i c ɪ
annríkt	a n r i x t
annt	a n̥ t
annual	a n j u a l
annþór	a n θ ou r
ansi	a n s ɪ
answer	a n s œ r
anthony	a n θ ɔ n i
anti	a n̥ t i
antoine	a n̥ t v a n
anton	a n̥ t ɔ n
antonio	a n tʰ ɔ n ɪ ɔ
antonsdóttir	a n̥ t ɔ n s t ou h t ɪ r
antonsson	a n̥ t ɔ n s ɔ n
any	ɛː n i
anyone	ɛː n i v ɔ n
anything	ɛː n i θ i ŋ
anywhere	ɛː n i v ɛ r
aníta	aː n i t a
anítu	aː n i t ʏ
apa	aː p a
apes	eiː p s
api	aː p ɪ
app	a h p
apparat	a h p a r a t
appelsín	a h p ɛ l s i n
appelsínugul	a h p ɛ l s i n ʏ k ʏ l
appelsínugulum	a h p ɛ l s i n ʏ k ʏ l ʏ m
appelsínugulur	a h p ɛ l s i n ʏ k ʏ l ʏ r
appelsínuhúð	a h p ɛ l s i n ʏ h u ð
appelsínur	a h p ɛ l s i n ʏ r
appelsínurnar	a h p ɛ l s i n ʏ r t n a r
appelsínusafa	a h p ɛ l s i n ʏ s a v a
appelsínusíld	a h p ɛ l s i n ʏ s i l t
appið	a h p ɪ ð
apple	a h p u l
apps	a h p s
april	eiː pʰ r ɪ l
apríl	aː pʰ r i l
aprílkönnun	aː pʰ r i l̥ kʰ œ n ʏ n
aprílmánuði	aː pʰ r i l m au n ʏ ð ɪ
apótek	aː p ou tʰ ɛ k
apótekari	aː p ou tʰ ɛ k a r ɪ
apótekum	aː p ou tʰ ɛ k ʏ m
ara	aː r a
araba	aː r a p a
arabíska	aː r a p i s k a
arabísku	aː r a p i s k ʏ
arabískur	aː r a p i s k ʏ r
arabíu	aː r a p i j ʏ
aradóttir	aː r a t ou h t ɪ r
arafat	aː r a f a t
arafats	aː r a f a t s
aragrúi	aː r a k r u ɪ
arason	aː r a s ɔ n
arasonar	aː r a s ɔ n a r
aratungu	aː r a tʰ u ŋ k ʏ
arcade	a r̥ c ei t
architects	a r̥ c ɪ tʰ ɛ x t s
architecture	a r̥ c ɪ tʰ ɛ x t j u r
are	aː r
area	ɛː r i a
areas	ɛː r i a s
arf	a r v
arfa	a r v a
arfi	a r v ɪ
arfleiddi	a r v l ei t ɪ
arfleifð	a r v l ei v ð
arftaka	a r̥ tʰ a k a
arftaki	a r̥ tʰ a c ɪ
arfur	a r v ʏ r
argentína	a r k ɛ n tʰ i n a
argentínska	a r k ɛ n tʰ i n s k a
argentínski	a r c ɛ n tʰ i n s c ɪ
argentínu	a r c ɛ n tʰ i n ʏ
argentínumaðurinn	a r c ɛ n tʰ i n ʏ m a ð ʏ r ɪ n
argentínumenn	a r c ɛ n tʰ i n ʏ m ɛ n
ari	aː r ɪ
ariel	a r i j ɛ l
arinbjarnarson	aː r ɪ n p j a r t n a r̥ s ɔ n
arion	aː r i ɔ n
aristóteles	aː r ɪ s t ou tʰ ɛ l ɛ s
arjen	a r j ɛ n
arkitekt	a r̥ c ɪ tʰ ɛ x t
arkitekta	a r̥ c ɪ tʰ ɛ x t a
arkitektar	a r̥ c ɪ tʰ ɛ x t a r
arkitektarnir	a r̥ c ɪ tʰ ɛ x t a r t n ɪ r
arkitektasamkeppni	a r̥ c ɪ tʰ ɛ x t a s a m cʰ ɛ h p n ɪ
arkitektinn	a r̥ c ɪ tʰ ɛ x t ɪ n
arkitektsins	a r̥ c ɪ tʰ ɛ x t s ɪ n s
arkitektúr	a r̥ c ɪ tʰ ɛ x t u r
arma	a r m a
armband	a r m p a n t
armbandsúr	a r m p a n t s u r
armeníu	a r m ɛ n i j ʏ
armkútar	a r m kʰ u t a r
armour	a r m u r
arms	a r m s
armstrong	a r m s t r ɔ ŋ
armt	a r m̥ t
armur	a r m ʏ r
army	a r m i
arna	a r t n a
arnalds	a r t n a l t s
arnaldur	a r t n a l t ʏ r
arnar	a r t n a r
arnardóttir	a r t n a r t ou h t ɪ r
arnardóttur	a r t n a r t ou h t ʏ r
arnarfirði	a r t n a r̥ f ɪ r ð ɪ
arnarholt	a r t n a r̥ h ɔ l̥ t
arnarholti	a r t n a r̥ h ɔ l̥ t ɪ
arnarhóli	a r t n a r̥ h ou l ɪ
arnari	a r t n a r ɪ
arnarlax	a r t n a r l a k s
arnars	a r t n a r̥ s
arnarsdóttir	a r t n a r̥ s t ou h t ɪ r
arnarson	a r t n a r̥ s ɔ n
arnarsonar	a r t n a r̥ s ɔ n a r
arnarsson	a r t n a r̥ s ɔ n
arnarssonar	a r t n a r̥ s ɔ n a r
arnarstapa	a r t n a r̥ s t a p a
arnartanga	a r t n a r̥ tʰ au ŋ k a
arnarvatnsheiðar	a r t n a r v a s h ei ð a r
arnbjörg	a r t n̥ p j œ r k
arnbjörnsson	a r t n̥ p j œ r̥ s ɔ n
arndal	a r n̥ t a l
arndís	a r n̥ t i s
arne	a r n ɛ
arnesi	au r n ɛ s ɪ
arnfríður	a r t n̥ f r i ð ʏ r
arngerður	a r t n̥ c ɛ r ð ʏ r
arngrímsson	a r t n̥ k r i m s ɔ n
arngrímur	a r t n̥ k r i m ʏ r
arnheiður	a r t n̥ h ei ð ʏ r
arniku	a r n ɪ k ʏ
arnkelsson	a r t n̥ cʰ ɛ l s ɔ n
arnljótsdóttir	a r t n l j ou t s t ou h t ɪ r
arnold	a r n ou l t
arnór	a r t n ou r
arnóri	a r t n ou r ɪ
arnórs	a r t n ou r̥ s
arnórsdóttir	a r t n ou r̥ s t ou h t ɪ r
arnórsson	a r t n ou r̥ s ɔ n
arnþrúður	a r t n̥ θ r u ð ʏ r
arnþór	a r t n̥ θ ou r
arnþórsson	a r n̥ θ ou r̥ s ɔ n
aron	aː r ɔ n
aroni	aː r ɔ n ɪ
arons	aː r ɔ n s
arsen	a r̥ s ɛ n
arsenal	a r̥ s ɛ n a l
arsene	a r̥ s ɛ n
arshavin	a r̥ s j a v ɪ n
art	a r̥ t
artemisar	a r̥ t ɛ m ɪ s a r
arteta	a r̥ t ɛ t a
arthur	a r̥ t u r
article	a r̥ t ɪ k u l
articles	a r̥ t ɪ k u l s
artist	a r̥ t ɪ s t
artists	a r̥ t ɪ s t s
arts	a r̥ t s
arð	a r ð
arðbær	a r ð p ai r
arðgreiðslu	a r ð k r ei ð s t l ʏ
arðgreiðslum	a r ð k r ei ð s t l ʏ m
arðgreiðslur	a r ð k r ei ð s t l ʏ r
arði	a r ð ɪ
arðræninginn	a r ð r ai n i ɲ c ɪ n
arðs	a r ð s
arðsemi	a r θ s ɛ m ɪ
arður	a r ð ʏ r
arðurinn	a r ð ʏ r ɪ n
as	aː s
asa	aː s a
aserbaídsjan	aː s ɛ r p a i t s j a n
ash	a s
ashley	a s t l ei
ashton	a s t ɔ n
asia	eiː s j a
ask	a s k
aska	a s k a
askan	a s k a n
askar	a s k a r
asking	a s c i ŋ
askja	a s c a
asnaeyrunum	a s t n a ei r ɔ n ʏ m
asnaðist	a s t n a ð ɪ s t
asni	a s t n ɪ
aspas	a s p a s
assad	a s a t
assange	a s a n s
asset	a s ɛ t
assets	a s ɛ t s
assistant	a s ɪ s t a n̥ t
aston	a s t ɔ n
astrid	a s t r ɪ t
así	aː ɛ s i
asíu	aː s i j ʏ
at	aː t
ata	aː t a
atalanta	a h t a l a n̥ t a
atbeina	aː t p ei n a
atburð	aː t p ʏ r ð
atburða	aː t p ʏ r ð a
atburðanna	aː t p ʏ r ð a n a
atburðarás	aː t p ʏ r ð a r au s
atburðarásin	aː t p ʏ r ð a r au s ɪ n
atburðarásina	aː t p ʏ r ð a r au s ɪ n a
atburðarásinni	aː t p ʏ r ð a r au s ɪ n ɪ
atburði	aː t p ʏ r ð ɪ
atburðina	aː t p ʏ r ð ɪ n a
atburðinn	aː t p ʏ r ð ɪ n
atburðinum	aː t p ʏ r ð ɪ n ʏ m
atburðir	aː t p ʏ r ð ɪ r
atburðirnir	aː t p ʏ r ð ɪ r t n ɪ r
atburðum	aː t p ʏ r ð ʏ m
atburður	aː t p ʏ r ð ʏ r
atburðurinn	aː t p ʏ r ð ʏ r ɪ n
atferli	aː t f ɛ r t l ɪ
atferlistruflaðir	aː t f ɛ r t l ɪ s tʰ r ʏ p l a ð ɪ r
atgervi	aː t c ɛ r v ɪ
athafna	aː t h a p n a
athafnaleysi	aː t h a p n a l ei s ɪ
athafnamanneskja	aː t h a p n a m a n ɛ s c a
athafnamaður	aː t h a p n a m a ð ʏ r
athafnasvæði	aː t h a p n a s v ai ð ɪ
athafnir	aː t h a p n ɪ r
athuga	aː t h ʏ ɣ a
athuganir	aː t h ʏ ɣ a n ɪ r
athugasemd	aː t h ʏ ɣ a s ɛ m t
athugasemda	aː t h ʏ ɣ a s ɛ m t a
athugasemdalaust	aː t h ʏ ɣ a s ɛ m t a l œy s t
athugasemdir	aː t h ʏ ɣ a s ɛ m t ɪ r
athugasemdirnar	aː t h ʏ ɣ a s ɛ m t ɪ r t n a r
athugasemdum	aː t h ʏ ɣ a s ɛ m t ʏ m
athugavert	aː t h ʏ ɣ a v ɛ r̥ t
athugað	aː t h ʏ ɣ a ð
athugaði	aː t h ʏ ɣ a ð ɪ
athugi	aː t h ʏi j ɪ
athugið	aː t h ʏi j ɪ ð
athugult	aː t h ʏ ɣ ʏ l̥ t
athugun	aː t h ʏ ɣ ʏ n
athugunar	aː t h ʏ ɣ ʏ n a r
athugunum	aː t h ʏ ɣ ʏ n ʏ m
athuguðu	aː t h ʏ ɣ ʏ ð ʏ
athvarf	aː t kʰ v a r f
athygli	aː t h ɪ k l ɪ
athyglin	aː t h ɪ k l ɪ n
athyglina	aː t h ɪ k l ɪ n a
athyglinni	aː t h ɪ k l ɪ n ɪ
athyglissýki	aː t h ɪ k l ɪ s i c ɪ
athyglisvert	aː t h ɪ k l ɪ s v ɛ r̥ t
athyglisverð	aː t h ɪ k l ɪ s v ɛ r ð
athyglisverða	aː t h ɪ k l ɪ s v ɛ r ð a
athyglisverðar	aː t h ɪ k l ɪ s v ɛ r ð a r
athyglisverðri	aː t h ɪ k l ɪ s v ɛ r ð r ɪ
athyglisverðu	aː t h ɪ k l ɪ s v ɛ r ð ʏ
athyglisverðum	aː t h ɪ k l ɪ s v ɛ r ð ʏ m
athyglisverður	aː t h ɪ k l ɪ s v ɛ r ð ʏ r
